id,parentId,name,city,position,image,data
100,,Citoyens,Baie-Trinité,Utilisateur,https://bumbeishvili.github.io/avatars/avatars/portrait12.png,
101,100,Administration,Baie-Trinité,Service municipale,https://bcitigab.github.io/icons/toolbox.png,
102,100,Service de l'approvisionnement,Baie-Trinité,Service municipale,https://bcitigab.github.io/icons/toolbox.png,
103,100,Bibliothèque,Baie-Trinité,Service municipale,https://bcitigab.github.io/icons/toolbox.png,
104,100,Communications,Baie-Trinité,Service municipale,https://bcitigab.github.io/icons/toolbox.png,
105,100,Direction générale,Baie-Trinité,Service municipale,https://bcitigab.github.io/icons/toolbox.png,
107,100,Loisir,Baie-Trinité,Service municipale,https://bcitigab.github.io/icons/toolbox.png,
108,100,Animaux domestiques,Baie-Trinité,Service municipale,https://bcitigab.github.io/icons/toolbox.png,
109,100,Sécurité,Baie-Trinité,Service municipale,https://bcitigab.github.io/icons/toolbox.png,
110,100,Ressources humaines,Baie-Trinité,Service municipale,https://bcitigab.github.io/icons/toolbox.png,
111,100,Service de taxation,Baie-Trinité,Service municipale,https://bcitigab.github.io/icons/toolbox.png,
112,100,Travaux public,Baie-Trinité,Service municipale,https://bcitigab.github.io/icons/toolbox.png,
113,100,Urbanisme,Baie-Trinité,Service municipale,https://bcitigab.github.io/icons/toolbox.png,
114,113,Demande de permis,Baie-Trinité,Source de données,https://bcitigab.github.io/icons/upload.png,
115,113,Serveur Accès Cité-territoire,Baie-Trinité,Hébergement / Stockage,https://bcitigab.github.io/icons/folder.png,
116,114,Serveur local,Baie-Trinité,Hébergement / Stockage,https://bcitigab.github.io/icons/folder.png,
117,116,Employés d'Accès Cité-Territoire,Baie-Trinité,Accès,https://bcitigab.github.io/icons/key.png,
118,116,Tous les employés municipaux,Baie-Trinité,Accès,https://bcitigab.github.io/icons/key.png,
119,101,Formulaire de plaintes/requêtes,Baie-Trinité,Source de données,https://bcitigab.github.io/icons/upload.png,"nom, prénom du plaintif, adresse du plaintif, adresse électronique, téléphones du plaintif, Nom et prénom du fautif, Adresse du fautif"
120,119,Serveur Accès Cité-territoire,Baie-Trinité,Hébergement / Stockage,https://bcitigab.github.io/icons/folder.png,
121,119,Serveur local,Baie-Trinité,Hébergement / Stockage,https://bcitigab.github.io/icons/folder.png,
122,120,Employés d'Accès Cité-Territoire,Baie-Trinité,Accès,https://bcitigab.github.io/icons/key.png,
123,121,Tous les employés municipaux,Baie-Trinité,Accès,https://bcitigab.github.io/icons/key.png,
124,101,Formulaire de dérogation mineur,Baie-Trinité,Source de données,https://bcitigab.github.io/icons/upload.png,
125,124,Serveur Accès Cité-territoire,Baie-Trinité,Hébergement / Stockage,https://bcitigab.github.io/icons/folder.png,
126,125,Serveur local,Baie-Trinité,Hébergement / Stockage,https://bcitigab.github.io/icons/folder.png,
127,125,Employés d'Accès Cité-Territoire,Baie-Trinité,Accès,https://bcitigab.github.io/icons/key.png,
128,126,Tous les employés municipaux,Baie-Trinité,Accès,https://bcitigab.github.io/icons/key.png,
129,103,Système de bibliothèque informatisé centralisé,Baie-Trinité,Source de données,https://bcitigab.github.io/icons/upload.png,"nom, prénom, numéro de téléphone, noms et prénoms de spécialistes, achats"
130,129,Réseau Symphonie,Baie-Trinité,Hébergement / Stockage,https://bcitigab.github.io/icons/folder.png,
131,130,Bibliothécaires,Baie-Trinité,Accès,https://bcitigab.github.io/icons/key.png,
132,130,Usagers de Symphonie,Baie-Trinité,Accès,https://bcitigab.github.io/icons/key.png,
133,101,Courriels,Baie-Trinité,Source de données,https://bcitigab.github.io/icons/upload.png,"nom, prénom, adresse, adresse électronique, état patrimonial, mots de passe, Tout autre information nécessaire au traitement du dossier"
134,133,Serveurs Microsoft (Outlook),Baie-Trinité,Hébergement / Stockage,https://bcitigab.github.io/icons/folder.png,
135,134,Employés de l'administration,Baie-Trinité,Accès,https://bcitigab.github.io/icons/key.png,
136,110,"Recrutement, embauche et paye",Baie-Trinité,Source de données,https://bcitigab.github.io/icons/upload.png,"nom, prénom, adresse, adresse électronique, numéros de téléphone, état patrimonial, niveau d'instruction, âge, genre, dossiers médicaux, permis de conduire, revenus, renseignements bancaires, NAS, date de naissance, références"
137,136,Serveur local,Baie-Trinité,Hébergement / Stockage,https://bcitigab.github.io/icons/folder.png,
138,136,Serveurs de PG,Baie-Trinité,Hébergement / Stockage,https://bcitigab.github.io/icons/folder.png,
139,138,Employés de PG,Baie-Trinité,Accès,https://bcitigab.github.io/icons/key.png,
140,137,Directeur général,Baie-Trinité,Accès,https://bcitigab.github.io/icons/key.png,
141,137,Secrétaire du DG,Baie-Trinité,Accès,https://bcitigab.github.io/icons/key.png,
142,137,Remplaçant du DG,Baie-Trinité,Accès,https://bcitigab.github.io/icons/key.png,
143,101,Stockage d'information sur un serveur dédié (non protégé) et backup sur le Cloud,Baie-Trinité,Source de données,https://bcitigab.github.io/icons/upload.png,"nom, prénom, adresse électronique, témoin, mot de passe, revenus, informations bancaires, rapports de prêt, rapports de solvabilité"
144,143,Serveur local,Baie-Trinité,Hébergement / Stockage,https://bcitigab.github.io/icons/folder.png,
