id,parentId,name,city,position,image,data
100,,Citoyens,Beaconsfield,Utilisateur,https://bumbeishvili.github.io/avatars/avatars/portrait12.png,
101,100,Administration,Beaconsfield,Service municipale,https://bcitigab.github.io/icons/toolbox.png,
102,100,Service de l'approvisionnement,Beaconsfield,Service municipale,https://bcitigab.github.io/icons/toolbox.png,
103,100,Bibliothèque,Beaconsfield,Service municipale,https://bcitigab.github.io/icons/toolbox.png,
104,100,Communications,Beaconsfield,Service municipale,https://bcitigab.github.io/icons/toolbox.png,
105,100,Direction générale,Beaconsfield,Service municipale,https://bcitigab.github.io/icons/toolbox.png,
107,100,Loisir,Beaconsfield,Service municipale,https://bcitigab.github.io/icons/toolbox.png,
108,100,Animaux domestiques,Beaconsfield,Service municipale,https://bcitigab.github.io/icons/toolbox.png,
109,100,Sécurité,Beaconsfield,Service municipale,https://bcitigab.github.io/icons/toolbox.png,
110,100,Ressources humaines,Beaconsfield,Service municipale,https://bcitigab.github.io/icons/toolbox.png,
111,100,Service de taxation,Beaconsfield,Service municipale,https://bcitigab.github.io/icons/toolbox.png,
112,100,Travaux public,Beaconsfield,Service municipale,https://bcitigab.github.io/icons/toolbox.png,
113,100,Urbanisme,Beaconsfield,Service municipale,https://bcitigab.github.io/icons/toolbox.png,
114,107,Inscription au loisir,Beaconsfield,Source de données,https://bcitigab.github.io/icons/upload.png,"RAMQ, NAS, Nom, Prénom, Courriel, Tél, Date de naissance, Genre, Camps de jour, Info médicale, Témoins (cookie), Adresse IP, Pièces d’identité des citoyens"
115,114,Serveur et BD de la ville,Beaconsfield,Hébergement / Stockage,https://bcitigab.github.io/icons/folder.png,
116,115,Serveur PG - Loisir,Beaconsfield,Hébergement / Stockage,https://bcitigab.github.io/icons/folder.png,
117,116,Employés de PG,Beaconsfield,Accès,https://bcitigab.github.io/icons/key.png,
118,116,Employés de bciti,Beaconsfield,Accès,https://bcitigab.github.io/icons/key.png,
119,116,Employés de la ville,Beaconsfield,Accès,https://bcitigab.github.io/icons/key.png,
120,116,Employés de la réception,Beaconsfield,Accès,https://bcitigab.github.io/icons/key.png,
121,116,Employés de la réception du centre récréatif,Beaconsfield,Accès,https://bcitigab.github.io/icons/key.png,
122,116,Employés de TI,Beaconsfield,Accès,https://bcitigab.github.io/icons/key.png,
123,116,Chef de section aux loisirs,Beaconsfield,Accès,https://bcitigab.github.io/icons/key.png,
124,116,Cadres et adjoints,Beaconsfield,Accès,https://bcitigab.github.io/icons/key.png,
125,116,Communication,Beaconsfield,Accès,https://bcitigab.github.io/icons/key.png,
126,116,Utilisateurs du comptoir REC,Beaconsfield,Accès,https://bcitigab.github.io/icons/key.png,
127,112,Demande de permis,Beaconsfield,Source de données,https://bcitigab.github.io/icons/upload.png,"Nom, prénom, Courriel, Adresse, Téléphone"
128,127,Serveur Accès Cité / Territoire,Beaconsfield,Hébergement / Stockage,https://bcitigab.github.io/icons/folder.png,
129,128,Serveur PG - Qualité de service & Gestion des permis,Beaconsfield,Hébergement / Stockage,https://bcitigab.github.io/icons/folder.png,
130,129,Employés de la ville,Beaconsfield,Accès,https://bcitigab.github.io/icons/key.png,
131,129,Employés de PG,Beaconsfield,Accès,https://bcitigab.github.io/icons/key.png,
132,129,Employés de la ville de Montréal,Beaconsfield,Accès,https://bcitigab.github.io/icons/key.png,
